Aditya Electro Communications Ltd.,,NaN,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,None
Add-Shop Promotions Ltd.,Household & Personal Products,30.49,Company with Low Debt,Degrowth in Revenue and Profit,Stock with Low PE (PE < = 10) ,No Threat for this stock,29.84,30.75,28.10,55.05
Add-Life Pharma Ltd.,,NaN,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,None
Adcon Capital Services RE Ltd.,Finance - Investment,0.14,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,0.12,0.16,0.12,10.00
Adeshwar Meditex Ltd.,Medical Equipment/Supplies/Accessories,33.49,"Strong Momentum: Price above short, medium and long term moving averages",Declining Net Cash Flow : Companies not able to generate net cash,Positive Breakout First Resistance ( LTP > R1) ,No Threat for this stock,33.49,33.49,16.20,36.00
Adcon Capital Services PP Ltd.,Finance - Investment,1.0,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,0.97,1.01,0.81,1.18
ADF Foods Industries Ltd.,Consumer Food,202.8,Company with No Debt,Inefficient use of shareholder funds - ROE declining in the last 2 years,No Opportunity for this stock,No Threat for this stock,200.85,205.95,133.46,261.95
Advance Multitech Ltd.,,NaN,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,None
Aditya Birla Fashion & Retail Ltd.,Retailing,226.0,Effectively using its capital to generate profit - RoCE improving in last 2 years,MFs decreased their shareholding last quarter,Brokers upgraded recommendation or target price in the past three months ,No Threat for this stock,223.95,226.40,184.40,265.50
Ahasolar Technologies Ltd.,Software,330.75,Efficient in managing Assets to generate Profits - ROA improving since last 2 year,No weakness for this stock,Positive Breakout Second Resistance  ( LTP > R2) ,No Threat for this stock,315.00,330.75,157.00,473.00
Advance Metering Technology Ltd.,Engineering - Industrial Equipments,48.76,Strong Annual EPS Growth,Negative Breakdown Third Support (LTP < S3),Turnaround companies- loss to profit QoQ ,No Threat for this stock,48.76,48.76,16.11,64.62
Agro Phos India Ltd.,Fertilizers,NaN,"Strong Momentum: Price above short, medium and long term moving averages",Low Piotroski Score : Companies with weak financials,Turnaround companies- loss to profit QoQ ,No Threat for this stock,47.35,49.45,29.90,52.50
Aikyam Intellectual Property Consultancy Ltd.,Packaging,7.1,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,7.10,7.10,7.10,46.95
Ajanta Tubes Ltd.,,NaN,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,None
AIK Pipes And Polymers  Ltd.,Miscellaneous,136.53,Efficient in managing Assets to generate Profits - ROA improving since last 2 year,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,135.10,141.85,89.00,152.20
Ajooni Biotech RE Ltd.,Diversified,NaN,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,None
Akzo Nobel Chemicals India Ltd.,,NaN,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,None
Ajanta Soya Ltd.,Vegetable Oils & Products,31.11,Growth in Net Profit with increasing Profit Margin (QoQ),Inefficient use of capital to generate profits - RoCE declining in the last 2 years,Turnaround companies- loss to profit QoQ ,No Threat for this stock,31.09,32.50,22.00,39.78
Ajanta Pharma Ltd.,Pharmaceuticals & Drugs,NaN,"Strong Momentum: Price above short, medium and long term moving averages",Inefficient use of capital to generate profits - RoCE declining in the last 2 years,Brokers upgraded recommendation or target price in the past three months ,No Threat for this stock,2200.15,2225.95,1131.70,2353.95
Agro Dutch Industries Ltd.,,NaN,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,1.40,1.45,1.40,1.80
AksharChem (India) Ltd.,Dyes & Pigments,282.0,Company with Low Debt,Degrowth in Revenue and Profit,Stock with Low PE (PE < = 10) ,No Threat for this stock,280.70,288.40,201.05,321.95
Akzo Nobel India Ltd.,Paints,NaN,"Strong Momentum: Price above short, medium and long term moving averages",MFs decreased their shareholding last quarter,RSI indicating price strength ,No Threat for this stock,2670.30,2719.80,2123.20,2965.20
Asian Fertilizers Ltd.,,NaN,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,None
Aerpace Industries RE Ltd.,,3.17,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,2.50,3.35,1.90,10.00
Akshay Software Ltd.,,NaN,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,None
AVI Photochem Ltd.,Trading,30.75,Efficient in managing Assets to generate Profits - ROA improving since last 2 year,Negative Breakdown Third Support (LTP < S3),No Opportunity for this stock,No Threat for this stock,29.75,31.90,16.90,36.10
Alcoblex Metals Ltd.,,NaN,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,None
Asian Industrial Ltd.,,NaN,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,None
Azad Engineering Ltd.,Aerospace & Defence,671.2,Company able to generate Net Cash - Improving Net Cash Flow for last 2 years,Companies with Increasing Debt,No Opportunity for this stock,No Threat for this stock,667.05,677.00,524.00,727.00
Advait Infratech Ltd.,Construction - Infrastructure,NaN,"Strong Momentum: Price above short, medium and long term moving averages",No weakness for this stock,Highest Recovery from 52 Week Low ,No Threat for this stock,1063.00,1109.00,206.10,1109.00
Avon Corporation Ltd.,Engineering,0.17,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,0.17,0.17,0.17,0.76
Arihant Academy Ltd.,Educational Institutions,NaN,"Strong Momentum: Price above short, medium and long term moving averages",Poor cash generated from core business - Declining Cash Flow from Operations for last 2 years,RSI indicating price strength ,No Threat for this stock,177.00,180.05,91.25,193.00
Axtel Industries Ltd.,Engineering - Industrial Equipments,739.6,"Strong Momentum: Price above short, medium and long term moving averages",Inefficient use of assets to generate profits - ROA declining in the last 2 years,Highest Recovery from 52 Week Low ,No Threat for this stock,710.00,769.90,197.50,850.30
Asian Energy Services Ltd.,Oil Exploration and Production,276.45,"Strong Momentum: Price above short, medium and long term moving averages","Negative profit growth, promoters decreasing shareholding QoQ",Turnaround companies- loss to profit QoQ ,No Threat for this stock,275.10,289.00,51.50,297.00
AXSENSEX Ltd.,Miscellaneous,NaN,"Strong Momentum: Price above short, medium and long term moving averages",No weakness for this stock,RSI indicating price strength ,No Threat for this stock,72.02,73.96,0.00,85.00
Axis Nifty AAA Bond Plus SDL Apr 2026 50:50 ETF,ETF,NaN,"Strong Momentum: Price above short, medium and long term moving averages",No weakness for this stock,No Opportunity for this stock,No Threat for this stock,11.44,11.80,10.05,13.30
Azure Exim Services Ltd.,Edible Oils & Solvent Extraction,5.67,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,5.67,5.67,2.28,5.67
Ayepee Lamitubes Ltd.,,NaN,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,None
Ayoki Mercan Ltd.,Finance - Investments,0.0,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,0.00,0.00,18.00,18.00
Axita Cotton  Ltd.,Textiles,27.26,Efficient in managing Assets to generate Profits - ROA improving since last 2 year,Negative Breakdown Second Support (LTP < S2),No Opportunity for this stock,No Threat for this stock,26.50,27.50,18.56,62.25
AYM Syntex Ltd.,Textiles & Apparel,85.11,"Strong Momentum: Price above short, medium and long term moving averages",Degrowth in Revenue and Profit,Negative to Positive growth in Sales and Profit with Strong Price momentum ,No Threat for this stock,83.95,86.90,58.00,92.35
AXISILVER Ltd.,Miscellaneous,NaN,No Strength for this stock,"Weak Momentum: Price below Short, Medium and Long Term Averages",No Opportunity for this stock,No Threat for this stock,72.07,72.71,0.00,79.00
Axis NIFTY Healthcare ETF,ETF,NaN,"Strong Momentum: Price above short, medium and long term moving averages",No weakness for this stock,Positive Breakout First Resistance ( LTP > R1) ,No Threat for this stock,110.69,111.95,74.05,113.60
Axis NIFTY 50 ETF,ETF,NaN,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,232.00,236.60,179.30,240.35
AVS World Trade Ltd.,,NaN,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,None
Axis NIFTY IT ETF,ETF,NaN,"Strong Momentum: Price above short, medium and long term moving averages",No weakness for this stock,RSI indicating price strength ,No Threat for this stock,386.00,390.41,274.64,396.40
Axel Polymers Ltd.,Plastic Products - Others,71.66,"Strong Momentum: Price above short, medium and long term moving averages",Decline in Net Profit with falling Profit Margin (QoQ),No Opportunity for this stock,No Threat for this stock,68.00,71.66,39.81,73.63
Aztecsoft Ltd.,,NaN,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,None
Axis Mutual Fund - Gold ETF,Gold ETF,53.03,Near 52 Week High,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,52.88,53.23,47.01,55.60
Axis NIFTY Bank ETF,ETF,NaN,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,464.44,467.99,389.79,495.98
Axis Bank Ltd.,Bank - Private,NaN,Increasing Revenue every Quarter for the past 4 Quarters,Red Flag: High Interest Payments Compared to Earnings,"Companies with current TTM PE Ratio less than 3 Year, 5 Year and 10 Year PE ",No Threat for this stock,1102.80,1126.45,814.30,1151.85
Axiscades Technologies Ltd.,IT Services & Consulting,818.85,"Strong Momentum: Price above short, medium and long term moving averages",High PE with Negative ROE,Negative to Positive growth in Sales and Profit with Strong Price momentum ,No Threat for this stock,802.20,822.95,248.05,850.00
AVT Natural Products Ltd.,Vegetable Oils & Products,92.25,Growth in Net Profit with increasing Profit Margin (QoQ),Degrowth in Revenue and Profit,Negative to Positive growth in Sales and Profit with Strong Price momentum ,No Threat for this stock,92.00,93.50,73.70,105.55
Awas Ayogen Vittnigam Ltd.,,NaN,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,None
AVSL Industries Ltd.,Plastic Products,NaN,Book Value per share Improving for last 2 years,Inefficient use of capital to generate profits - RoCE declining in the last 2 years,RSI indicating price strength ,No Threat for this stock,0.00,0.00,85.00,185.00
Avon Industries Ltd.,,NaN,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,None
AVTIL Enterprise Ltd.,,6.42,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,6.42,6.42,0.00,6.42
AVI Industries Ltd.,,NaN,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,None
Avikem Resins Ltd.,,NaN,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,None
Aviva Industries Ltd.,Trading,26.42,Effectively using its capital to generate profit - RoCE improving in last 2 years,New 52 week low today,No Opportunity for this stock,Red Flag: Large Swings Between Profit and Loss,26.42,26.42,26.42,31.78
Avonmore Capital & Management Services Ltd.,Finance - Investment,105.45,"Strong Momentum: Price above short, medium and long term moving averages",Degrowth in Revenue and Profit,Positive Breakout First Resistance ( LTP > R1) ,No Threat for this stock,96.30,105.60,58.50,105.60
Avro India Ltd.,Plastic Products,136.6,"Strong Momentum: Price above short, medium and long term moving averages",Decline in Quarterly Net Profit (YoY),Positive Breakout Third Resistance ( LTP > R3) ,No Threat for this stock,126.00,139.50,94.00,154.45
Avon Mercantile Ltd.,,NaN,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,None
AVG Logistics Ltd.,Courier Services,428.9,"Strong Momentum: Price above short, medium and long term moving averages",Negative Breakdown First Support (LTP < S1),Highest Recovery from 52 Week Low ,No Threat for this stock,421.55,447.00,105.00,464.00
Bajaj Hindusthan Sugar Ltd.,Sugar,26.43,Effectively using its capital to generate profit - RoCE improving in last 2 years,Red Flag: High Interest Payments Compared to Earnings,Highest Recovery from 52 Week Low ,No Threat for this stock,26.25,26.70,11.45,35.85
Axis NIFTY India Consumption ETF,ETF,NaN,"Strong Momentum: Price above short, medium and long term moving averages",No weakness for this stock,RSI indicating price strength ,No Threat for this stock,97.61,98.24,70.96,102.35
Baffin Engineering Ltd.,,NaN,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,None
AVI Polymers Ltd.,Speciality Chemicals,11.61,Growth in Net Profit with increasing Profit Margin (QoQ),Negative Breakdown Third Support (LTP < S3),No Opportunity for this stock,No Threat for this stock,11.51,11.61,9.75,20.24
Bajaj Global Ltd.,Trading,0.0,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,0.00,0.00,0.00,0.00
Bacil Pharma Ltd.,Pharmaceuticals & Drugs,7.49,"Strong Momentum: Price above short, medium and long term moving averages",Low Piotroski Score : Companies with weak financials,Stock with Low PE (PE < = 10) ,No Threat for this stock,7.21,7.49,4.68,9.99
B and A Ltd.,Tea/Coffee,422.0,"Strong Momentum: Price above short, medium and long term moving averages",Degrowth in Revenue and Profit,Positive Breakout First Resistance ( LTP > R1) ,No Threat for this stock,410.00,426.80,216.70,428.95
Bajaj Healthcare Ltd.,Pharmaceuticals & Drugs,343.95,Growth in Net Profit with increasing Profit Margin (QoQ),Negative Breakdown Second Support (LTP < S2),Stock with Low PE (PE < = 10) ,No Threat for this stock,343.35,352.40,275.70,513.40
S S F Ltd.,,NaN,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,None
AVI Export (India) Ltd.,,NaN,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,None
Bajrang Finance Ltd.,,13.83,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,13.83,13.83,4.50,13.83
Balaji Galvanising Industries Ltd.,,NaN,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,None
Business Forms Ltd.,,NaN,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,None
BWL Ltd.,Cables - Telephone,0.0,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,0.00,0.00,3.52,27.93
B. N. Rathi Securities Ltd.,Finance - Stock Broking,104.1,"Strong Momentum: Price above short, medium and long term moving averages",Declining Net Cash Flow : Companies not able to generate net cash,Profit making Companies with High ROCE and Low PE ,No Threat for this stock,99.00,105.00,32.00,110.90
Balaram Cements Ltd.,,NaN,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,None
Bala Techno Industries Ltd.,Textiles - General,1.07,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,1.05,1.15,1.05,1.15
B&B Triplewall Containers Ltd.,Containers & Packaging,274.45,"Strong Momentum: Price above short, medium and long term moving averages",Low Piotroski Score : Companies with weak financials,RSI indicating price strength ,No Threat for this stock,270.40,277.60,178.55,303.15
Bubna Major Bio tech Ltd.,,NaN,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,None
Budge Budge Company Ltd.,Miscellaneous,12.12,High growth stocks with promoters increasing shareholding,Decline in Quarterly Net Profit (YoY),Positive Breakout Third Resistance ( LTP > R3) ,Red Flag: Large Swings Between Profit and Loss,12.12,12.12,10.00,12.12
Bull Power System Ltd.,,NaN,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,None
Burroughs Wellcome (India) Ltd.,,NaN,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,None
BTW Industries Ltd.,,NaN,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,None
Butterfly Gandhimathi Appliances Ltd.,Domestic Appliances,NaN,Strong Annual EPS Growth,MFs decreased their shareholding last quarter,No Opportunity for this stock,No Threat for this stock,1033.00,1050.50,977.55,1562.90
Burnpur Cement Ltd.,Cement,7.59,"Strong Momentum: Price above short, medium and long term moving averages",Red Flag: High Interest Payments Compared to Earnings,Positive Breakout First Resistance ( LTP > R1) ,No Threat for this stock,6.90,7.55,3.80,8.80
Burr-Brown (India) Ltd.,,NaN,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,None
Bodhi tree Multimedia RE Ltd.,"Film Production, Distribution & Entertainment",NaN,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,None
Bharat Sanchar Nigam Ltd.,,NaN,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,None
BSL Ltd.,Textiles & Apparel,207.85,Effectively using Shareholders fund - Return on equity (ROE) improving since last 2 year,Companies with High Debt,"Companies with current TTM PE Ratio less than 3 Year, 5 Year and 10 Year PE ",No Threat for this stock,204.25,216.30,145.60,238.90
BSI Ltd.,,NaN,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,None
BSEL ALGO Ltd.,Construction - Real Estate,17.31,Strong Annual EPS Growth,Poor cash generated from core business - Declining Cash Flow from Operations for last 2 years,"Companies with current TTM PE Ratio less than 3 Year, 5 Year and 10 Year PE ",No Threat for this stock,17.23,17.59,4.70,19.74
B&A Packaging India Ltd.,Packaging Materials-Containers & Packaging,257.0,"Strong Momentum: Price above short, medium and long term moving averages",Inefficient use of capital to generate profits - RoCE declining in the last 2 years,RSI indicating price strength ,No Threat for this stock,251.00,261.00,170.25,274.95
BSE Ltd.,Finance - Stock Broking,NaN,Company with high TTM EPS Growth,Decline in Net Profit with falling Profit Margin (QoQ),Brokers upgraded recommendation or target price in the past three months ,No Threat for this stock,2251.00,2286.10,406.20,2595.00
BSE PSU,,NaN,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,None
BSE Sensex,,NaN,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,None
BSE National Index,,NaN,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,None
BSE IT Sector,,NaN,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,None
Cals Refineries Ltd.,Oil Exploration and Production,0.1,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,0.10,0.10,0.10,0.10
BSE Healthcare,,NaN,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,None
C & C Constructions Ltd.,Construction - Infrastructure,2.4,Effectively using Shareholders fund - Return on equity (ROE) improving since last 2 year,Red Flag: High Interest Payments Compared to Earnings,Positive Breakout First Resistance ( LTP > R1) ,No Threat for this stock,2.23,2.43,2.23,9.07
BSE Consumer Durables,,NaN,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,None
BSE Dollex,,NaN,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,None
Cyient DLM Ltd.,Electric Equipment,659.85,Growth in Net Profit with increasing Profit Margin (QoQ),MFs decreased their shareholding last quarter,Negative to Positive growth in Sales and Profit with Strong Price momentum ,No Threat for this stock,657.95,672.10,403.00,778.90
BSE FMCG Sector,,NaN,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,None
Cyberwave Internet Solutions Ltd.,,NaN,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,None
Cyient Ltd.,IT Services & Consulting,NaN,Company with high TTM EPS Growth,Poor cash generated from core business - Declining Cash Flow from Operations for last 2 years,Brokers upgraded recommendation or target price in the past three months ,No Threat for this stock,2214.15,2249.80,831.50,2458.95
Cyber Media (India) Ltd.,Printing & Publishing,35.59,"Strong Momentum: Price above short, medium and long term moving averages",Inefficient use of shareholder funds - ROE declining in the last 2 years,"Companies with current TTM PE Ratio less than 3 Year, 5 Year and 10 Year PE ",No Threat for this stock,32.25,36.85,12.70,36.85
Cybertech Systems and Software Ltd.,IT Services & Consulting,200.55,"Strong Momentum: Price above short, medium and long term moving averages",Inefficient use of shareholder funds - ROE declining in the last 2 years,Highest Recovery from 52 Week Low ,No Threat for this stock,198.30,205.40,84.80,213.75
Cyberspace Multimedia Ltd.,,NaN,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,None
Cyber Media Research and Services Ltd.,TV Broadcasting & Software Production,NaN,Company with high TTM EPS Growth,Negative Breakdown Third Support (LTP < S3),No Opportunity for this stock,No Threat for this stock,152.95,153.00,102.90,231.00
Cybele Industries Ltd.,Cables,41.0,Effectively using its capital to generate profit - RoCE improving in last 2 years,Negative Breakdown First Support (LTP < S1),Turnaround companies- loss to profit QoQ ,No Threat for this stock,40.13,44.00,15.00,49.40
CWD Ltd.,Electronic Goods,951.0,Company with Low Debt,Negative Breakdown Second Support (LTP < S2),RSI indicating price strength ,No Threat for this stock,907.00,964.50,532.00,1949.00
BSE Dollex 30,,NaN,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,None
Curefast Remedies Ltd.,,NaN,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,None
Cvil Infra Ltd.,,NaN,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,None
Cyanamid Agro Ltd.,,NaN,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,None
Cutfast Abrasive Tools Ltd.,,NaN,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,None
CV Steels Ltd.,,NaN,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,None
Cyberscape Multimedia Ltd.,Computers - Software Medium & Small,2.9,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,2.90,2.90,2.70,3.05
Cupid Trades Ltd.,Trading,16.3,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,16.30,16.30,15.00,167.00
Cyberspace Infosys Ltd.,,NaN,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,None
CUBEINVIT Ltd.,Miscellaneous,NaN,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,0.00,0.00,0.00,100.00
Cure Spects Laser Ltd.,,NaN,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,None
Cura Technologies Ltd.,Software,1.78,Annual Net Profits improving for last 2 years,Companies with High Debt,Positive Breakout First Resistance ( LTP > R1) ,No Threat for this stock,1.78,1.78,1.54,2.06
